#          p        sig_p         v          bv       sig_bv
#
       20.01        0.87        6.85       0.569       0.006
        41.2        0.56        5.92       0.491       0.015
       19.81        0.87        6.29       0.462       0.004
       36.98        0.64         6.7       0.618       0.004
        13.4        0.95        7.35        0.42       0.007
       10.57        0.84        8.46       0.622       0.015
       14.58         0.9        8.64       0.722       0.016
       12.07        0.92        8.36       0.465       0.015
       13.64        0.73        7.85       0.475       0.015
       45.73        0.95        6.55       0.646       0.006
       18.83        0.86        7.09       0.478       0.008
       18.11        0.86        8.08       0.586       0.015
       17.08        0.73        7.18         0.6       0.006
       16.82        0.91        7.75       0.523       0.015
       13.45         0.8        7.56       0.424       0.007
       82.15        0.66        6.38        0.78        0.01
       13.44        0.93        8.57       0.923       0.015
       16.58        0.84        7.49       0.498       0.006
       10.08        0.81           7       0.103       0.008
       30.69        0.81        8.08       0.719       0.015
       14.32        0.79        7.56        0.49       0.015
       14.62        0.84        8.04        0.58        0.01
       30.43        0.78        6.72       0.532       0.005
       11.12        0.99         7.6       0.373       0.013
       27.15         0.7        7.84       0.648       0.005
       14.09        0.85        7.37       0.443       0.007
       15.23        0.91        7.17       0.518       0.008
       20.13        0.74        7.47       0.475       0.014
       25.44        0.93        8.44       0.737       0.014
       12.01         0.8        7.43       0.355       0.012
       18.19        0.99         8.4       0.609       0.017
       16.38        0.95        7.47       0.427       0.013
       23.54        0.76         6.2       0.482       0.004
       18.01        0.87        7.48       0.596       0.002
       14.98        0.96        7.24       0.464       0.017
        14.5        0.75        6.94       0.548       0.006
       11.16        0.85         7.8       0.299       0.015
       13.53        0.72        7.68        0.42       0.015
       11.49        0.96        7.86       0.452        0.01
       14.41        0.91         7.2        0.47       0.006
        51.5        0.82        6.61       0.724       0.014
       31.81        0.84        5.85       0.554       0.008
       31.18        0.69        6.38       0.484       0.004
       28.78        0.96        7.13       0.599       0.005
       10.43        0.94        8.83       0.692       0.017
       14.61        0.89        8.19       0.527       0.013
       15.16        0.95        8.01       0.604       0.009
       15.28        0.87        8.36       0.571       0.012
       31.88        0.98        7.88       0.716       0.004
       19.56        0.96        7.61       0.603       0.008
       24.99         0.8         6.3       0.605       0.006
       10.21        0.92        8.16       0.311       0.013
       12.75        0.92        7.78       0.609       0.015
       14.01        0.84        7.57       0.491       0.015
       21.94        0.93        6.75       0.548       0.007
       16.68        0.83        7.53       0.554       0.006
       71.01        0.78        7.15       0.936       0.006
       11.48        0.89        8.39       0.828       0.016
        10.2        0.95        8.25       0.427       0.015
       56.26        0.77        6.48       0.681       0.001
       14.65        0.76        7.52       0.647       0.005
       27.99        0.74        5.84       0.476       0.008
       38.15        0.86        6.51       0.606       0.009
        15.9        0.97        8.79       0.607       0.016
       13.43        0.95           8       0.544       0.015
       27.38        0.77        8.08       0.782       0.002
        13.5        0.89        7.86       0.559       0.015
       22.42        0.87        8.44       0.724       0.017
       16.71        0.99        8.36       0.591       0.015
       21.87        0.88        8.26        0.66       0.007
        14.5        0.88         7.3        0.43        0.01
       25.74        0.86        7.81       0.643       0.027
       13.42        0.78        7.91       0.569       0.009
       13.78        0.79        8.27       0.672       0.003
       16.13        0.97        5.69       0.335       0.009
        12.7         0.8        7.98       0.491       0.015
       14.78         0.9        7.14        0.33       0.019
       25.99        0.74        6.54       0.509       0.004
       33.03        0.92        7.97       0.805       0.014
       14.21        0.92        8.19       0.491       0.015
       10.15        0.93        8.31       0.436       0.012
       27.53        0.91         5.9       0.517       0.004
       22.22        0.98        8.41       0.645       0.011
       12.25        0.56        5.79       0.041       0.003
       30.88        0.77        6.97       0.552       0.007
       14.47         0.9        5.66      -0.014       0.003
        11.5         0.9        8.19       0.435       0.015
       21.26        0.74        7.78       0.533       0.004
       10.01        0.71        6.99       0.372       0.015
       16.96        0.97        7.43       0.493       0.015
       33.63        0.95        7.38       0.689       0.002
        12.4        0.93        7.96       0.546       0.015
       45.26        0.75        6.92       0.659       0.007
       27.71        0.91        7.34       0.606       0.007
       130.1        0.92        1.17       0.145       0.011
       20.42         0.8        5.81       0.431       0.003
       10.06        0.94        7.28       0.198       0.011
       24.51        0.99        8.41       0.725       0.011
       14.54        0.88        7.98       0.665        0.01
       11.21        0.99        8.58       0.674       0.015
       44.57        0.87        6.95       0.671       0.004
       39.08        0.77         6.8         0.6       0.004
       10.92        0.98        8.12       0.408       0.015
       13.11        0.84           7       0.262        0.01
       17.88         0.9         7.1         0.5       0.006
       22.14        0.95        6.88       0.463       0.004
       10.05        0.92        7.75       0.752       0.015
       17.84        0.71        6.34        0.37       0.003
       17.69        0.91         7.1       0.511       0.015
       11.49        0.99        7.48       0.465       0.015
       46.36        0.84        7.72       0.873        0.01
       19.07        0.98        8.26       0.611       0.002
       10.56        0.82        7.44         0.5       0.006
       70.86        0.67         3.8       0.543       0.015
       11.69        0.79        7.81        0.48       0.015
        10.7        0.91        7.88       0.622       0.015
       11.96        0.87        7.84       0.602       0.008
       10.19        0.98        8.63       0.539       0.015
       11.03        0.91        7.88       0.427       0.015
       19.88        0.76        7.54       0.553       0.015
       12.71         0.8        8.26       0.503        0.01
       27.76        0.88        7.36        0.63       0.006
        13.3        0.95        8.38       0.584       0.007
       21.95        0.96        6.04       0.403       0.004
        16.3        0.87        8.16       0.641       0.015
       45.38        0.63        6.37       0.626       0.007
       27.73        0.94        7.78       0.651       0.004
       20.41        0.98        7.66       0.554       0.012
       14.09        0.91        8.37       0.574       0.014
       15.25        0.76        5.69       0.037       0.002
       23.54        0.62        5.28       0.486       0.012
       11.83        0.97        7.91        0.46       0.009
        13.3        0.71        6.43       0.358       0.024
        16.8        0.82        7.26       0.404       0.008
       17.99        0.71        7.24       0.544       0.008
       10.12        0.86        7.54       0.577       0.009
       55.31        0.89        6.59       0.814       0.034
       55.67         0.9        8.13       1.072        0.01
       38.77        0.63        6.05       0.708       0.005
       20.22        0.88        8.18       0.583        0.01
       10.85        0.91        7.99       0.405       0.015
       16.17        0.84        6.94       0.552       0.004
       13.82        0.92        7.82       0.426        0.01
       15.91        0.98        6.78       0.348       0.014
       14.67        0.63        6.28       0.449       0.006
       10.94        0.91        5.67       0.012       0.009
       18.72        0.79        7.27       0.523       0.015
       13.34        0.93        8.25         0.5       0.015
        14.5        0.62        4.65      -0.111       0.002
       29.47        0.93        7.18       0.573       0.009
       33.72        0.96        6.36       0.536       0.012
       23.59        0.68        6.04       0.501       0.005
       22.72        0.95        8.43       0.707       0.002
        24.6        0.84        7.74       0.621       0.001
       16.29        0.88        8.14       0.632       0.015
       11.48        0.83        6.48        0.09       0.006
       32.94        0.72        5.88       0.794       0.007
       17.21        0.73        5.43       0.069       0.004
       11.96        0.89        8.32       0.656       0.015
       10.55        0.78        7.56       0.515       0.015
       11.72        0.92        7.81       0.377       0.011
       10.96        0.84        7.66        0.48       0.015
       21.19        0.95        7.65       0.656       0.006
       17.35        0.78        6.18       0.166       0.006
       30.89        0.78        7.09         0.6       0.004
       17.28        0.99        7.76       0.658       0.003
       17.91        0.74        6.88       0.695       0.007
       19.75        0.92        8.12       0.605        0.01
       12.71        0.93         8.1       0.572       0.015
       98.16        0.88        6.99       1.128       0.006
       19.67        0.99        7.55       0.541       0.015
       14.49        0.99        7.29       0.448       0.015
       10.71        0.91         7.6       0.597       0.001
       26.43        0.87        7.63       0.714       0.002
        11.9        0.98        8.22       0.707       0.002
       14.58        0.87        8.11        0.56       0.009
       15.98        0.91        7.29       0.611       0.015
       17.51        0.88         7.4       0.543       0.005
        10.9        0.94        6.58       0.097       0.006
       17.11        0.96        7.87       0.591       0.002
       17.96        0.76        7.18       0.423       0.006
        16.3        0.72        6.89       0.547       0.004
        20.9         0.9        7.69        0.52        0.01
       28.02        0.99         7.2       0.583        0.01
       11.81        0.99        8.36       0.531        0.01
       23.16        0.81        6.38       0.366       0.009
        37.6        0.65        6.43        0.55       0.021
       17.51        0.73        6.28       0.622       0.002
       14.94        0.88        7.98        0.53       0.008
       39.13        0.83        6.75       0.623       0.005
       18.79        0.76        7.01       0.419       0.007
       27.64        0.91        7.53       0.614        0.01
       21.38        0.99        8.29       0.724       0.013
       18.65        0.79        6.99       0.459       0.005
       28.91        0.75        5.41       0.334       0.014
       17.07        0.72        7.16       0.513       0.006
       23.76        0.81        5.95       0.362       0.006
       18.34        0.86        7.01       0.423       0.007
       11.39        0.83        7.41       0.217       0.011
       13.64        0.96        8.12       0.548       0.015
       15.93        0.91         8.2        0.54        0.01
       11.78         0.8        6.64       0.427       0.006
       17.42        0.78        7.17       0.466       0.007
       11.98        0.64        5.06      -0.067       0.002
       13.47        0.94        8.29       0.511       0.015
       10.94        0.96        6.04       0.073       0.005
        15.9        0.94        7.09         0.4       0.015
       15.27        0.89        7.69       0.488       0.015
       21.26        0.89        6.72       0.674       0.015
       11.51         0.9        8.05       0.641       0.009
       16.92        0.85         7.2       0.424       0.008
       10.29        0.87        7.72       0.375       0.015
       25.06        0.92        6.99       0.466       0.019
       12.21        0.82        7.52        0.36       0.009
       19.93        0.99        6.96       0.505       0.009
       19.08        0.74        6.49       0.505       0.004
        19.8        0.82        7.53       0.499       0.011
       20.59        0.73         6.4       0.542       0.008
       14.39        0.68        6.27       0.219       0.004
          15        0.89        7.52       0.531       0.007
       10.66        0.74        6.51       0.534       0.011
       14.99        0.94        7.45       0.591       0.015
       22.19        0.95        7.88       0.536       0.006
       11.09        0.98           8       0.408       0.015
       23.06        0.96        7.92       0.709       0.015
       17.22        0.81        6.19       0.169       0.003
        12.8        0.86        7.85       0.393       0.009
       14.54        0.88        2.05      -0.134       0.006
       47.61        0.95         5.7       0.507       0.011
       19.28         0.8        6.92       0.407       0.008
        22.8        0.78        6.73       0.473       0.007
       10.06        0.85        8.22        0.56       0.016
       13.49        0.73        5.24       -0.03       0.003
        14.4        0.92        8.24       0.455       0.015
       18.69         0.9        7.18        0.48       0.015
       16.44        0.93        7.95       0.558       0.012
       31.22        0.93        7.47       0.655       0.003
       46.22        0.84        7.05        0.76       0.006
       11.35        0.78        5.81       0.023       0.003
       13.87         0.9        7.53       0.433       0.015
       13.37        0.71        7.16       0.445       0.015
       18.09        0.86        6.95       0.403       0.008
       19.37        0.86        6.85       0.397       0.006
       13.46        0.86        7.83       0.419       0.007
       10.07        0.93        7.85       0.435       0.015
       68.42        0.72        6.71       0.882       0.022
       78.88        0.72        6.33       0.724       0.003
       10.31        0.96        8.31       0.446        0.02
       33.48        0.64        6.05       0.545       0.003
       18.77        0.89        7.87        0.61        0.02
       14.32        0.88         7.1       0.434        0.01
        22.4        0.73        6.77       0.573       0.005
       26.76        0.89        6.74       0.476       0.005
       14.48        0.96         7.8       0.446       0.009
          13        0.89        7.18       0.439        0.01
       19.35        0.89        7.03       0.491       0.024
       15.96        0.95        7.86        0.44       0.008
        24.9        0.87        7.82       0.627       0.005
       20.63        0.91        7.06       0.463       0.015
       38.98        0.98        6.47       0.691        0.02
       11.96        0.96        8.01       0.627       0.015
       30.92        0.77        5.69       0.427       0.004
       68.16        0.91        4.13       0.426       0.005
        14.4        0.91        7.78       0.543       0.007
       23.07        0.96         7.2       0.594       0.008
       10.17        0.84        7.33       0.461       0.015
       15.03        0.98        8.06       0.475       0.015
       25.77        0.81        6.88       0.748       0.001
       13.03        0.79        7.52       0.443       0.006
       10.38        0.76        7.03       0.118       0.005
        10.1        0.97        8.16       0.461       0.002
       19.86        0.85        6.38       0.328       0.007
       12.68        0.92        7.35       0.583       0.007
       15.75        0.93         7.7       0.598       0.011
       17.43        0.78        5.77        0.48       0.007
       18.82        0.86        7.68       0.548       0.011
       33.14        0.87        7.29       0.678       0.002
       17.24        0.89        4.59      -0.075        0.01
       11.45        0.99        8.36       0.569       0.011
       16.54        0.94        7.48       0.546       0.015
       10.77        0.89        7.03       0.248       0.003
       13.33        0.93        7.51       0.408       0.002
       15.45        0.78         6.4       0.821       0.003
        10.4        0.68        6.52       0.091       0.005
       14.38        0.86         7.2       0.411       0.015
       24.61        0.77        6.77       0.506       0.005
       25.94        0.75        5.45        0.39       0.003
       14.42        0.86        6.43         0.2       0.002
       18.62        0.83        6.69       0.497       0.004
       15.95        0.98        7.79       0.664        0.01
       23.48        0.83         7.8       0.566       0.007
       15.25        0.97        7.49       0.468       0.015
       14.23        0.85        6.73       0.357       0.006
       17.08        0.85        7.68       0.448       0.007
       12.36         0.9        7.88        0.43       0.015
       12.76         0.8         5.7       0.303       0.008
       10.88        0.93        6.23       0.188       0.006
       27.06        0.79        7.17        0.66       0.006
       24.16        0.94        7.53       0.636       0.015
       20.82        0.94        8.12       0.635       0.012
       36.97         0.8        6.25       0.548       0.009
       51.27        0.88        6.97       0.766        0.01
       23.42        0.89        7.21       0.607       0.008
       23.54        0.85        7.93       0.647       0.014
        21.2        0.92        6.59       0.647        0.02
       12.49        0.89        8.32       0.468       0.015
       26.07        0.75        6.72       0.613       0.002
       70.34        0.81        6.22       1.017       0.008
       67.19        0.73        4.93       0.534       0.004
       11.98        0.72        5.24       0.075       0.003
        59.9        0.75        6.37       0.713       0.006
       11.07        0.83        7.53       0.488       0.015
       14.24        0.71        6.39       0.157       0.005
        45.6        0.82        5.19       0.608       0.017
       35.02        0.74        6.14       0.718        0.01
       15.67         0.8        6.73        0.31       0.008
       18.08         0.9        5.17       0.128       0.004
       68.28        0.82        6.36       0.719       0.005
       12.78        0.82        6.93       0.513       0.007
       14.78        0.83        7.48       0.458       0.015
        11.7        0.77        6.97       0.481       0.005
       20.57        0.99        8.19       0.652       0.002
       37.85        0.69        4.08       0.163       0.004
       11.41        0.91        7.14        0.27       0.015
       17.82        0.66        5.45       0.055       0.004
       19.32        0.93        7.54       0.524       0.015
       13.78        0.99        8.31       0.583       0.016
       12.86        0.88        7.06       0.538       0.015
       11.49        0.94        7.43       0.387       0.008
       17.34        0.99        7.84       0.526       0.015
       25.11        0.98        6.85       0.487       0.013
       55.79        0.69        4.22       0.434       0.012
       26.31        0.82        7.49       0.606       0.015
       16.59        0.86        7.53       0.484       0.006
       15.76        0.75         6.1       0.496       0.007
       10.67        0.89        6.33       0.023       0.003
       14.61        0.89        7.09       0.423        0.01
       12.53        0.97         7.7       0.498       0.014
       17.36        0.89        6.95       0.509       0.007
       16.71        0.85        6.95       0.343       0.006
       11.41        0.98         7.3       0.264       0.009
        23.1        0.97        7.15       0.656       0.015
       11.84        0.77        7.07       0.226       0.006
       11.65        0.84        6.76        0.14       0.007
       10.98         0.7        5.92       0.023       0.004
       12.26        0.75        4.46       0.025       0.004
       12.32        0.96        8.09       0.486       0.015
       18.48        0.74        5.71       0.454       0.002
       16.72        0.95        7.53       0.433       0.015
       20.09        0.94        7.31       0.527       0.008
       25.06        0.68        6.05       0.576       0.007
        13.2        0.74        6.96        0.43       0.006
       11.37         0.9         8.1       0.453       0.015
        50.2        0.98        5.05        0.72        0.02
       17.38        0.76        6.44       0.503       0.006
       10.33        0.93        8.04       0.445       0.015
       12.79        0.95        6.14       0.087       0.006
       122.8        0.94        7.88       1.379       0.018
       12.45        0.74        5.93       0.141       0.006
       26.18        0.72        6.47       0.398       0.009
       111.5         0.6        3.59       0.481       0.011
       19.82        0.97        7.42       0.465       0.015
       28.28        0.81        6.78        0.59       0.004
       12.77         0.7        5.49       -0.01       0.001
       11.86        0.91        7.41       0.541       0.015
       11.35        0.86        7.89       0.523       0.015
       24.67        0.81        6.76       0.469       0.005
       38.91        0.66        4.44       0.521       0.012
       10.91        0.87        7.09       0.304       0.009
       15.97        0.97        8.24        0.53       0.009
       13.01        0.96        6.58        0.33       0.003
       36.82        0.85        7.36       0.718       0.015
       11.65        0.91        7.51       0.429       0.007
       25.05        0.86        7.14       0.517       0.008
       11.39        0.86        7.41       0.515       0.015
       18.98        0.98        7.69       0.552       0.014
       14.56        0.97        8.11       0.556       0.015
       13.18        0.89        7.36       0.408       0.015
       20.14        0.92        7.11       0.483       0.005
       35.92        0.69        5.22        0.35       0.022
       23.06        0.96        7.66       0.534       0.007
       11.33        0.94        6.58       0.144       0.008
       10.18         0.9        8.11        0.59       0.012
       10.21        0.97        8.23       0.452       0.016
       11.92        0.98        7.67       0.546       0.015
       18.16        0.88        7.53       0.569       0.012
        12.8        0.92        8.05       0.481       0.015
          57        0.79        4.86       0.469       0.015
       15.95        0.97        8.51       0.492       0.016
       13.49        0.84        7.19       0.387       0.015
       11.18        0.84        7.56       0.427        0.01
       11.02        0.75        4.26      -0.106       0.008
       14.72        0.78        5.11       0.028       0.003
       11.04        0.97        7.03       0.408       0.015
       11.74        0.98        7.92       0.453       0.015
       17.31        0.96        8.36       0.524       0.002
       13.47        0.84        7.31       0.888        0.01
       12.09        0.81        5.91       0.066       0.004
        10.7        0.95         8.3       0.498       0.015
       11.71        0.95        7.81       0.539       0.011
       17.91        0.97        8.17       0.652       0.015
       10.74        0.66        6.58       0.256       0.004
       25.58        0.85        6.68       0.617       0.012
       12.49        0.85        6.24       0.319       0.008
       18.65        0.96        8.18        0.66           0
       14.06        0.86        7.14        0.45       0.008
       23.15        0.82         7.1       0.531       0.006
       14.21        0.77        5.58       0.346       0.004
       12.63        0.76        6.66       0.417       0.006
       13.72        0.99        7.16       0.438       0.015
       17.64        0.84         6.1       0.503       0.007
       14.42        0.83        7.73       0.425        0.01
       18.19         0.9        6.89       0.502       0.005
       16.71        0.87        7.55       0.434       0.007
       12.78        0.75         6.1       0.195       0.006
       14.28        0.92        7.31       0.493       0.007
       10.48        0.94        7.43       0.114       0.015
       10.19        0.87        7.78       0.591       0.012
       77.02        0.85        5.85       0.673       0.002
       29.46        0.78        6.01       0.402       0.006
       11.44        0.79        7.32       0.435       0.008
       17.14        0.89        7.13       0.447       0.001
       14.08        0.93        8.02       0.556       0.004
       17.62        0.95        6.35       0.458       0.005
       10.18        0.75         4.7        0.02       0.005
        12.8        0.98        7.55       0.503       0.015
       11.68        0.85        7.59       0.423       0.009
       10.97        0.98        8.12       0.448       0.015
          12        0.79        5.53       0.012       0.003
       11.94        0.99        7.21       0.391       0.008
        25.3        0.76        6.24       0.537       0.004
       14.97        0.89        7.72       0.584       0.009
       15.31        0.77        6.78        0.42       0.006
       43.97        0.75        5.21       0.446       0.009
       11.18        0.78        6.85       0.136       0.006
       14.44        0.98        7.75       0.418       0.015
       24.23        0.99        7.02       0.645       0.003
       22.11        0.92        7.74       0.603       0.002
       12.98         0.8         6.2        0.34        0.01
       21.52        0.89        7.62       0.555       0.012
          27        0.91        8.04       0.692       0.002
       31.01        0.87        6.44       0.594       0.002
       11.62        0.84        6.69       0.027       0.002
       17.99        0.94        6.74       0.498       0.007
       19.36        0.77        6.54       0.579       0.002
       13.33        0.98         8.1        0.51       0.015
       31.91        0.75        5.23        0.48        0.01
       39.15        0.74        6.34        0.58       0.004
       14.17        0.99        7.87       0.898       0.015
       36.86        0.91         5.7       0.423       0.005
        15.6        0.73        4.91      -0.047       0.002
       16.16        0.96        6.25       0.526       0.004
       10.91        0.94        7.99       0.436       0.012
       12.53        0.95        8.14       0.615       0.014
       19.03        0.98        6.65       0.448       0.011
       10.07        0.92         8.2       0.539       0.015
        12.5        0.96        8.27        0.63       0.016
       15.08        0.81        6.02       0.397       0.004
       26.49        0.97        7.26       0.622       0.009
       11.03        0.93        7.99       0.405       0.013
       12.52        0.83        7.36       0.681       0.007
       14.89        0.93        6.07       0.124       0.001
        10.9        0.88        6.89        0.08       0.015
       13.29        0.97        7.25       0.527       0.009
        11.5        0.79        6.33       0.069       0.004
       17.99        0.97        7.67       0.525        0.01
       29.47        0.89        7.54       0.594       0.015
       12.21        0.85        7.44       0.448       0.015
        15.4        0.98        7.06       0.475       0.015
        12.6        0.93         6.8       0.308       0.008
       18.58        0.97        7.51       0.607       0.015
       11.28        0.68        6.21       0.098       0.004
       18.49        0.94        8.15       0.551       0.015
       13.14        0.84        6.64       0.473       0.004
       26.44        0.76        6.47       0.648       0.002
       20.41        0.93         6.5       0.578       0.003
       10.89        0.89         6.7        0.14       0.015
       12.28        0.89        6.87       0.375       0.015
       13.86        0.92         7.1       0.473       0.015
       11.32        0.93        7.12       0.508       0.006
       13.96        0.98        8.14       0.528        0.01
       23.75        0.73        6.45       0.494       0.004
       71.17        0.91         7.1       0.927       0.002
        12.3        0.78        6.37        0.48       0.004
       11.04        0.88        8.08       0.466       0.014
       16.82        0.85        6.35       0.493       0.007
       10.92        0.92        7.95       0.394       0.015
       20.47        0.89        6.46       0.386       0.011
       16.56        0.77        7.49       0.486       0.015
       13.32        0.93        6.99       0.495       0.015
       14.53        0.95        7.23       0.674       0.012
       14.97        0.98        7.46        0.57       0.011
       13.21        0.93        7.55       0.363       0.015
       14.07        0.94        7.69       0.496       0.015
       75.71        0.89        6.81       0.861       0.007
        13.6        0.81        6.13       0.273       0.005
       17.57        0.86        7.38       0.842        0.01
       11.17        0.92        6.66       0.297       0.011
       11.06        0.78        5.53       0.025       0.003
       15.05        0.78           7       0.551       0.015
       15.54        0.86        6.19       0.374       0.004
       13.52        0.89        7.64       0.498       0.008
       10.02        0.81        7.03       0.252       0.015
       18.86        0.92        7.48       0.605       0.007
       71.56        0.76        4.47       0.481       0.012
       27.33        0.85        5.72       0.381       0.012
       10.01        0.91        7.74       0.667       0.015
       14.45        0.76        5.73      -0.014       0.003
       11.55        0.94        7.63       0.601       0.014
       13.48        0.93        6.74       0.465       0.015
       14.86         0.9        6.76       0.429       0.008
        15.3        0.81        5.12       0.016       0.004
       13.69        0.81        4.61       0.087        0.01
       13.23         0.9        7.06       0.883       0.011
       19.06        0.94        7.19       0.482       0.009
       20.25        0.91        6.43       0.447       0.007
       12.52        0.81        5.73           0       0.002
       11.33        0.85        7.06       0.458       0.007
       16.07        0.74           6        0.31       0.008
       19.73         0.8        6.63       0.569       0.004
       12.49        0.85        5.53       0.001       0.004
       22.64        0.94        7.73       0.619       0.015
       40.11        0.76        5.96       0.572       0.006
       11.51        0.83        6.67       0.525       0.005
        17.4        0.91        8.07       0.721       0.016
        12.9         0.9        6.66       0.457       0.007
       14.53        0.91        7.74       0.817       0.003
       23.06        0.95        6.82       0.407       0.008
       20.45        0.99        7.45       0.617       0.007
       13.13        0.89        7.87       0.548       0.015
       11.63        0.95         5.6       0.314       0.002
        13.9        0.92        8.22       0.647       0.021
       33.04        0.86        4.77       0.386       0.014
       11.71        0.98        7.89       0.466       0.015
        15.9        0.97        7.42        0.51       0.012
       10.62        0.92        8.18       0.553       0.012
       10.72        0.95        7.89        0.45       0.011
       17.94        0.94        6.55       0.483        0.02
       17.32        0.86        7.22       0.509       0.008
       11.13        0.92        7.84        0.58        0.01
        10.1        0.98        7.99       0.379       0.015
        38.9        0.82        4.06       0.216       0.006
       15.72        0.84        6.93       0.674       0.006
       13.28         0.9        7.84       0.491        0.01
       14.23        0.89        7.68       0.789        0.01
       21.59        0.86         6.8         0.5       0.015
       13.46         0.8        6.63        0.48       0.006
       14.28        0.98        7.57       0.827       0.002
       23.88        0.98        7.89       0.635       0.016
       29.37        0.79        6.84       0.489       0.005
       12.77        0.95        7.36       0.415       0.015
       10.26        0.97        7.33       0.583       0.015
       15.95         0.9        7.35       0.497       0.006
       13.37        0.87        7.15       0.641       0.015
       19.54        0.87        7.04       0.506       0.008
       25.94        0.97        7.13       0.679       0.015
        13.3        0.95        7.38       0.484       0.011
       20.61        0.92        4.08       -0.01       0.008
       11.42        0.83        5.17      -0.022       0.002
       14.19        0.79        7.12       0.406       0.015
       14.05        0.87        7.46       0.611        0.01
        13.3        0.93        7.81       0.521       0.015
       15.72        0.97        7.22       0.455       0.015
       20.61        0.96        7.76       0.579       0.009
       15.69        0.91         7.6        0.49       0.015
       14.84        0.72        5.64      -0.001       0.004
       13.36        0.89        7.62       0.618       0.011
       13.29        0.95        7.58       0.543       0.015
        75.1         0.8        5.49       0.632       0.006
       17.88        0.98        7.59       0.607       0.009
        29.2        0.94        7.34       0.654       0.011
       11.63        0.84        6.98       0.335       0.001
       13.14        0.82        7.08       0.561       0.006
       22.36        0.91        7.28       0.526        0.01
       10.31        0.92        7.62       0.281       0.015
       11.01        0.93        8.27       0.418       0.015
       11.22        0.95        7.75        0.51       0.015
       10.97        0.94        7.86       0.515       0.015
       30.49        0.94        5.47       0.517       0.007
       15.58         0.9        7.35         0.5       0.004
       12.85        0.74        6.62       0.314        0.01
       37.11        0.69        2.94      -0.012       0.004
       23.17        0.83        5.65       0.447       0.004
       17.14        0.88        7.72        0.61       0.015
       16.43        0.95         7.5       0.419       0.001
       19.26        0.83        7.16       0.475       0.015
       27.35        0.98        7.62       0.767       0.002
       24.06        0.75        5.76       0.537       0.008
        16.1        0.96        8.09       0.645       0.011
       15.74        0.91        8.05       0.468       0.015
       18.06        0.84        7.28       0.543       0.015
       15.76        0.77        6.62       0.312       0.007
       42.43        0.97        7.24        0.71        0.01
       30.72         0.8        5.04        0.46           0
       54.92        0.66         4.3       0.388       0.014
       17.16         0.8        6.72        0.61       0.015
       21.31        0.97        7.54       0.541       0.015
       15.07        0.94        7.47       0.534       0.007
       11.57        0.93        7.64       0.493       0.015
       10.99        0.94        7.87       0.315       0.015
       27.36        0.93        7.73       0.637       0.011
       12.28        0.97         7.9       0.516       0.015
       23.17        0.99        7.43       0.566       0.004
       21.83        0.88        6.95       0.467       0.004
       13.78        0.82        7.41        0.51       0.011
       31.78        0.99        7.43       0.719       0.011
       26.19        0.82        6.55        0.89        0.01
        13.5        0.87        8.07       0.528       0.015
       13.11        0.98        5.93       0.024       0.007
        12.9        0.86        7.42       0.305       0.015
       10.52         0.9         7.8        0.43       0.015
       24.49        0.91        6.79       0.821        0.01
       16.32        0.75        5.62       0.066       0.004
       13.47        0.83        6.18       0.234       0.029
       23.59         0.9        6.88        0.62       0.005
       19.14         0.9        7.51       0.618        0.01
       21.67        0.93        8.31        0.71       0.012
       20.69        0.78         6.3       0.468       0.008
       11.79        0.85        5.46       0.079       0.005
       18.02        0.86           7       0.895       0.008
       24.09        0.85        7.27       0.536       0.015
       28.37        0.82        7.52       0.649       0.002
       28.89        0.84        7.17       0.553       0.012
       52.94        0.77        4.89       0.487       0.012
       12.64        0.96        7.99       0.491       0.015
       10.24        0.94        7.78       0.426       0.014
       22.83        0.96        6.95       0.475       0.015
       38.73        0.87        4.74       0.454       0.012
       33.75        0.82        6.97       0.563       0.011
       15.43        0.92        7.78       0.526       0.003
       27.27        0.91        7.29       0.617       0.009
       20.06        0.85        7.05       0.455       0.015
       12.43        0.84        7.58       0.437       0.008
       19.18        0.88        7.53       0.615       0.005
        15.3        0.89        7.98       0.667       0.004
       14.93        0.92        7.39       0.404       0.006
       29.31        0.92        6.05       0.479       0.005
        15.2        0.95        7.61       0.478       0.015
       15.45        0.81        7.02       0.462       0.012
       16.19        0.81        7.15       0.505       0.015
       19.14         0.7        4.67       0.046       0.002
       21.53        0.97        7.12       0.445       0.008
       11.78        0.83        7.47       0.465       0.015
       19.62        0.88        7.61       0.601       0.015
       23.62        0.87        6.15       0.388       0.011
       15.42        0.78        5.74       0.043       0.006
       21.29        0.99        7.31       0.487       0.012
       11.82        0.99        7.73       0.471       0.003
       21.34        0.95        7.85       0.614       0.015
       15.04        0.99        8.01        0.56       0.011
       12.21        0.95        8.32       0.521       0.016
       19.45        0.93        6.86       0.498       0.007
       12.27        0.92        7.47       0.468       0.004
        13.8        0.71        5.03       0.342       0.003
       20.29        0.94        5.98       0.429        0.01
       21.16        0.87        4.49      -0.032       0.004
       11.83        0.83        5.95       0.244       0.009
       12.17        0.82        6.95       0.494       0.006
       15.64        0.79        6.32       0.485       0.005
       11.28         0.9        7.32       0.331        0.01
       11.99        0.91         8.1       0.408       0.015
       32.36        0.74        5.46       0.501       0.008
        10.2        0.91        7.32       0.372       0.009
       30.87        0.82         6.9       0.542       0.003
          23         0.9        6.04       0.386       0.006
       14.64        0.91        7.74       0.465       0.015
